Count,"Tradelist Count",Name,Edition,"Card Number",Condition,Foil,Signed,"Artist Proof","Altered Art",Misprint,Promo,Textless,"My Price"
1,,"Destined // Lead",Amonkhet,217a/217b,,,,,,,,,0.25
1,,"Devoted Crop-Mate",Amonkhet,10,,,,,,,,,0.25
1,,Dispossess,Amonkhet,86,,,,,,,,,0.30
1,,"Dissenter's Deliverance",Amonkhet,164,,,,,,,,,0.20
1,,"Djeru's Resolve",Amonkhet,11,,,,,,,,,0.19
1,,"Doomed Dissenter",Amonkhet,87,,,,,,,,,0.20
1,,"Drake Haven",Amonkhet,51,,,,,,,,,0.42
1,,"Dread Wanderer",Amonkhet,88,,,,,,,,,1.41
2,,"Dune Beetle",Amonkhet,89,,,,,,,,,0.15
1,,"Edifice of Authority",Amonkhet,226,,,,,,,,,0.25
1,,Electrify,Amonkhet,129,,,,,,,,,0.15
1,,"Embalmer's Tools",Amonkhet,227,,,,,,,,,0.25
1,,"Emberhorn Minotaur",Amonkhet,130,,,,,,,,,0.17
2,,"Enigma Drake",Amonkhet,198,,,,,,,,,0.31
1,,"Essence Scatter",Amonkhet,52,,,,,,,,,0.20
2,,"Evolving Wilds",Amonkhet,242,,,,,,,,,0.25
1,,"Exemplar of Strength",Amonkhet,165,,,,,,,,,0.25
1,,"Failure // Comply",Amonkhet,221a/221b,,,,,,,,,0.37
1,,"Faith of the Devoted",Amonkhet,90,,,,,,,,,0.25
1,,"Fan Bearer",Amonkhet,12,,,,,,,,,0.17
1,,"Festering Mummy",Amonkhet,91,,,,,,,,,0.25
2,,"Final Reward",Amonkhet,92,,,,,,,,,0.16
1,,"Flameblade Adept",Amonkhet,131,,,,,,,,,0.31
1,,Fling,Amonkhet,132,,,,,,,,,0.20
1,,Floodwaters,Amonkhet,53,,,,,,,,,0.18
1,,"Forest (267)",Amonkhet,267,,,,,,,,,0.24
1,,"Forest (254)",Amonkhet,254,,,,,,,,,0.38
1,,"Forest (268)",Amonkhet,268,,,,,,,,,0.19
1,,"Forest (269)",Amonkhet,269,,,,,,,,,0.24
1,,"Forsake the Worldly",Amonkhet,13,,,,,,,,,0.29
1,,"Forsaken Sanctuary",Amonkhet,281,,,,,,,,,0.25
1,,"Foul Orchard",Amonkhet,279,,,,,,,,,0.22
1,,Galestrike,Amonkhet,54,,,,,,,,,0.25
1,,"Gate to the Afterlife",Amonkhet,228,,,,,,,,,0.33
2,,"Giant Spider",Amonkhet,166,,,,,,,,,0.16
1,,"Gideon's Intervention",Amonkhet,15,,,,,,,,,0.44
1,,"Gideon's Resolve",Amonkhet,272,,,,,,,,,0.35
1,,"Gift of Paradise",Amonkhet,167,,,,,,,,,0.20
1,,"Glorious End",Amonkhet,133,,,,,,,,,1.21
1,,"Glory-Bound Initiate",Amonkhet,16,,,,,,,,,0.40
1,,Glorybringer,Amonkhet,134,,,,,,,,,1.51
1,,"Glyph Keeper",Amonkhet,55,,,,,,,,,0.33
1,,"Graceful Cat",Amonkhet,273,,,,,,,,,0.20
1,,"Grasping Dunes",Amonkhet,244,,,,,,,,,0.29
1,,Gravedigger,Amonkhet,93,,,,,,,,,0.25
1,,"Greater Sandwurm",Amonkhet,168,,,,,,,,,0.19
1,,"Grim Strider",Amonkhet,94,,,,,,,,,0.25
1,,"Gust Walker",Amonkhet,17,,,,,,,,,0.15
1,,"Hapatra, Vizier of Poisons",Amonkhet,199,,,,,,,,,0.99
1,,"Hapatra's Mark",Amonkhet,169,,,,,,,,,0.25
1,,"Harsh Mentor",Amonkhet,135,,,,,,,,,0.49
1,,"Harvest Season",Amonkhet,170,,,,,,,,,1.24
1,,"Haze of Pollen",Amonkhet,171,,,,,,,,,0.24
1,,"Hazoret's Favor",Amonkhet,137,,,,,,,,,0.34
2,,"Hazoret's Monument",Amonkhet,229,,,,,,,,,1.20
1,,"Heaven // Earth",Amonkhet,224a/224b,,,,,,,,,0.38
1,,"Heart-Piercer Manticore",Amonkhet,138,,,,,,,,,0.35
1,,"Hekma Sentinels",Amonkhet,56,,,,,,,,,0.17
1,,"Hieroglyphic Illumination",Amonkhet,57,,,,,,,,,0.25
1,,"Highland Lake",Amonkhet,282,,,,,,,,,0.25
2,,"Honed Khopesh",Amonkhet,230,,,,,,,,,0.19
1,,"Honored Crop-Captain",Amonkhet,200,,,,,,,,,0.25
1,,"Honored Hydra",Amonkhet,172,,,,,,,,,0.43
1,,"Hooded Brawler",Amonkhet,173,,,,,,,,,0.17
1,,"Horror of the Broken Lands",Amonkhet,95,,,,,,,,,0.25
1,,"Hyena Pack",Amonkhet,139,,,,,,,,,0.17
2,,"Illusory Wrappings",Amonkhet,58,,,,,,,,,0.18
1,,"Impeccable Timing",Amonkhet,18,,,,,,,,,0.15
1,,"In Oketra's Name",Amonkhet,19,,,,,,,,,0.17
1,,"Initiate's Companion",Amonkhet,174,,,,,,,,,0.19
1,,"Insult // Injury",Amonkhet,213a/213b,,,,,,,,,0.81
1,,"Island (258)",Amonkhet,258,,,,,,,,,0.21
1,,"Island (251)",Amonkhet,251,,,,,,,,,0.39
1,,"Island (259)",Amonkhet,259,,,,,,,,,0.22
1,,"Island (260)",Amonkhet,260,,,,,,,,,0.24
2,,"Kefnet the Mindful",Amonkhet,59,,,,,,,,,0.99
1,,"Kefnet's Monument",Amonkhet,231,,,,,,,,,0.32
1,,"Khenra Charioteer",Amonkhet,201,,,,,,,,,0.29
1,,"Labyrinth Guardian",Amonkhet,60,,,,,,,,,0.25
2,,"Lay Bare the Heart",Amonkhet,96,,,,,,,,,0.25
1,,"Lay Claim",Amonkhet,61,,,,,,,,,0.25
1,,"Liliana, Death Wielder",Amonkhet,275,,foil,,,,,,,7.97
1,,"Liliana, Death's Majesty",Amonkhet,97,,,,,,,,,6.95
1,,"Liliana's Influence",Amonkhet,277,,,,,,,,,0.53
1,,"Liliana's Mastery",Amonkhet,98,,,,,,,,,1.44
1,,"Limits of Solidarity",Amonkhet,140,,,,,,,,,0.25
2,,"Lord of the Accursed",Amonkhet,99,,,,,,,,,1.10
1,,"Luxa River Shrine",Amonkhet,232,,,,,,,,,0.17
1,,"Magma Spray",Amonkhet,141,,,,,,,,,0.21
1,,Manglehorn,Amonkhet,175,,,,,,,,,0.38
1,,"Manticore of the Gauntlet",Amonkhet,142,,,,,,,,,0.16
1,,"Meandering River",Amonkhet,283,,,,,,,,,0.24
1,,"Merciless Javelineer",Amonkhet,202,,,,,,,,,0.25
1,,"Miasmic Mummy",Amonkhet,100,,,,,,,,,0.19
1,,"Mighty Leap",Amonkhet,20,,,,,,,,,0.15
2,,"Minotaur Sureshot",Amonkhet,143,,,,,,,,,0.18
1,,"Mountain (264)",Amonkhet,264,,,,,,,,,0.24
1,,"Mountain (253)",Amonkhet,253,,,,,,,,,0.40
1,,"Mountain (265)",Amonkhet,265,,,,,,,,,0.21
1,,"Mountain (266)",Amonkhet,266,,,,,,,,,0.20
1,,"Mouth // Feed",Amonkhet,214a/214b,,,,,,,,,0.40
2,,"Naga Oracle",Amonkhet,62,,,,,,,,,0.18
1,,"Naga Vitalist",Amonkhet,176,,,,,,,,,0.20
2,,"Nef-Crop Entangler",Amonkhet,144,,,,,,,,,0.17
1,,"Neheb, the Worthy",Amonkhet,203,,,,,,,,,0.48
1,,"Nest of Scarabs",Amonkhet,101,,,,,,,,,0.58
1,,"Never // Return",Amonkhet,212a/212b,,,,,,,,,0.75
1,,"New Perspectives",Amonkhet,63,,,,,,,,,0.46
1,,"Nimble-Blade Khenra",Amonkhet,145,,,,,,,,,0.17
1,,"Nissa, Steward of Elements",Amonkhet,204,,,,,,,,,1.99
1,,"Oashra Cultivator",Amonkhet,177,,,,,,,,,0.18
1,,"Oketra the True",Amonkhet,21,,,,,,,,,5.43
2,,"Oketra's Attendant",Amonkhet,22,,,,,,,,,0.25
1,,"Oketra's Monument",Amonkhet,233,,,,,,,,,2.08
1,,"Onward // Victory",Amonkhet,218a/218b,,,,,,,,,0.25
1,,"Open into Wonder",Amonkhet,64,,,,,,,,,0.27
1,,"Oracle's Vault",Amonkhet,234,,,,,,,,,0.48
2,,"Ornery Kudu",Amonkhet,178,,,,,,,,,0.16
1,,"Painful Lesson",Amonkhet,102,,,,,,,,,0.18
1,,"Painted Bluffs",Amonkhet,246,,,,,,,,,0.20
1,,"Pathmaker Initiate",Amonkhet,146,,,,,,,,,0.17
1,,"Pitiless Vizier",Amonkhet,103,,,,,,,,,0.17
2,,"Plague Belcher",Amonkhet,104,,,,,,,,,1.44
1,,"Plains (255)",Amonkhet,255,,,,,,,,,0.20
1,,"Plains (250)",Amonkhet,250,,,,,,,,,0.35
1,,"Plains (256)",Amonkhet,256,,,,,,,,,0.19
1,,"Plains (257)",Amonkhet,257,,,,,,,,,0.20
1,,"Pouncing Cheetah",Amonkhet,179,,,,,,,,,0.19
1,,"Prepare // Fight",Amonkhet,220a/220b,,,,,,,,,0.35
1,,"Protection of the Hekma",Amonkhet,23,,,,,,,,,0.25
2,,"Pursue Glory",Amonkhet,147,,,,,,,,,0.17
1,,"Pyramid of the Pantheon",Amonkhet,235,,,,,,,,,0.50
1,,"Quarry Hauler",Amonkhet,181,,,,,,,,,0.16
1,,"Rags // Riches",Amonkhet,222a/222b,,,,,,,,,0.42
1,,"Reduce // Rubble",Amonkhet,216a/216b,,,,,,,,,0.25
1,,"Regal Caracal",Amonkhet,24,,,,,,,,,0.99
1,,"Renewed Faith",Amonkhet,25,,,,,,,,,0.25
1,,"Rhet-Crop Spearmaster",Amonkhet,26,,,,,,,,,0.16
1,,"Rhonas the Indomitable",Amonkhet,182,,,,,,,,,11.91
1,,"Rhonas's Monument",Amonkhet,236,,,,,,,,,1.00
1,,"River Serpent",Amonkhet,66,,,,,,,,,0.19
1,,"Ruthless Sniper",Amonkhet,105,,,,,,,,,0.25
2,,"Sacred Cat",Amonkhet,27,,,,,,,,,0.32
1,,"Sacred Excavation",Amonkhet,67,,,,,,,,,0.25
1,,"Samut, Voice of Dissent",Amonkhet,205,,,,,,,,,4.08
1,,"Sandwurm Convergence",Amonkhet,183,,,,,,,,,2.24
1,,"Scaled Behemoth",Amonkhet,184,,,,,,,,,0.25
1,,"Scarab Feast",Amonkhet,106,,,,,,,,,0.20
1,,"Scribe of the Mindful",Amonkhet,68,,,,,,,,,0.19
1,,"Seeker of Insight",Amonkhet,69,,,,,,,,,0.16
1,,"Seraph of the Suns",Amonkhet,28,,,,,,,,,0.25
1,,"Shadow of the Grave",Amonkhet,107,,,,,,,,,0.65
1,,"Shadowstorm Vizier",Amonkhet,206,,,,,,,,,0.25
2,,"Shed Weakness",Amonkhet,185,,,,,,,,,0.17
1,,"Shefet Monitor",Amonkhet,186,,,,,,,,,0.27
1,,"Sheltered Thicket",Amonkhet,248,,,,,,,,,2.29
1,,"Sheltered Thicket",Amonkhet,248,,foil,,,,,,,3.71
2,,"Shimmerscale Drake",Amonkhet,70,,,,,,,,,0.18
1,,"Sixth Sense",Amonkhet,187,,,,,,,,,0.29
1,,"Slither Blade",Amonkhet,71,,,,,,,,,0.29
1,,"Soul-Scar Mage",Amonkhet,148,,,,,,,,,9.00
2,,Soulstinger,Amonkhet,108,,,,,,,,,0.20
1,,"Sparring Mummy",Amonkhet,29,,,,,,,,,0.17
1,,"Spidery Grasp",Amonkhet,188,,,,,,,,,0.18
2,,"Splendid Agony",Amonkhet,109,,,,,,,,,0.20
1,,"Spring // Mind",Amonkhet,219a/219b,,,,,,,,,0.25
1,,"Start // Finish",Amonkhet,215a/215b,,,,,,,,,0.25
1,,"Stinging Shot",Amonkhet,189,,,,,,,,,0.18
1,,"Stir the Sands",Amonkhet,110,,,,,,,,,0.25
1,,"Stone Quarry",Amonkhet,274,,,,,,,,,0.20
1,,"Submerged Boneyard",Amonkhet,284,,,,,,,,,0.25
2,,"Sunscorched Desert",Amonkhet,249,,,,,,,,,0.24
1,,"Supernatural Stamina",Amonkhet,111,,,,,,,,,0.20
2,,"Supply Caravan",Amonkhet,30,,,,,,,,,0.18
1,,"Swamp (261)",Amonkhet,261,,,,,,,,,0.20
1,,"Swamp (252)",Amonkhet,252,,,,,,,,,0.50
1,,"Swamp (262)",Amonkhet,262,,,,,,,,,0.21
1,,"Swamp (263)",Amonkhet,263,,,,,,,,,0.20
1,,"Sweltering Suns",Amonkhet,149,,,,,,,,,0.95
1,,"Synchronized Strike",Amonkhet,190,,,,,,,,,0.25
1,,"Tah-Crop Elite",Amonkhet,31,,,,,,,,,0.16
2,,"Tah-Crop Skirmisher",Amonkhet,72,,,,,,,,,0.17
1,,"Tattered Mummy",Amonkhet,278,,,,,,,,,0.31
1,,"Temmet, Vizier of Naktamun",Amonkhet,207,,,,,,,,,0.37
1,,"Those Who Serve",Amonkhet,32,,,,,,,,,0.17
1,,"Thresher Lizard",Amonkhet,150,,,,,,,,,0.17
1,,"Timber Gorge",Amonkhet,285,,,,,,,,,0.24
1,,"Time to Reflect",Amonkhet,33,,,,,,,,,0.25
2,,"Tormenting Voice",Amonkhet,151,,,,,,,,,0.22
1,,"Tranquil Expanse",Amonkhet,286,,,,,,,,,0.20
2,,"Trespasser's Curse",Amonkhet,112,,,,,,,,,0.31
1,,"Trial of Ambition",Amonkhet,113,,,,,,,,,0.29
1,,"Trial of Knowledge",Amonkhet,73,,,,,,,,,0.25
1,,"Trial of Solidarity",Amonkhet,34,,,,,,,,,0.25
1,,"Trial of Strength",Amonkhet,191,,,,,,,,,0.25
1,,"Trial of Zeal",Amonkhet,152,,,,,,,,,0.25
2,,"Trueheart Duelist",Amonkhet,35,,,,,,,,,0.25
1,,"Trueheart Twins",Amonkhet,153,,,,,,,,,0.24
1,,Unburden,Amonkhet,114,,,,,,,,,0.17
2,,"Unwavering Initiate",Amonkhet,36,,,,,,,,,0.16
1,,"Violent Impact",Amonkhet,154,,,,,,,,,0.20
1,,"Vizier of Deferment",Amonkhet,37,,,,,,,,,0.25
1,,"Vizier of Many Faces",Amonkhet,74,,,,,,,,,0.87
1,,"Vizier of Remedies",Amonkhet,38,,,,,,,,,0.39
4,,"Vizier of Tumbling Sands",Amonkhet,75,,,,,,,,,0.39
1,,"Wander in Death",Amonkhet,115,,,,,,,,,0.20
2,,"Warfire Javelineer",Amonkhet,155,,,,,,,,,0.25
1,,"Wasteland Scorpion",Amonkhet,116,,,,,,,,,0.20
1,,"Watchers of the Dead",Amonkhet,238,,,,,,,,,0.25
1,,"Watchful Naga",Amonkhet,193,,,,,,,,,0.25
1,,"Wayward Servant",Amonkhet,208,,,,,,,,,0.33
1,,"Weaver of Currents",Amonkhet,209,,,,,,,,,0.25
1,,"Winds of Rebuke",Amonkhet,76,,,,,,,,,0.25
1,,"Winged Shepherd",Amonkhet,39,,,,,,,,,0.19
1,,"Woodland Stream",Amonkhet,287,,,,,,,,,0.22
1,,"Zenith Seeker",Amonkhet,77,,,,,,,,,0.25
1,,"Dark Ritual","Amonkhet Invocations",21,,foil,,,,,,,81.60
1,,Entomb,"Amonkhet Invocations",23,,foil,,,,,,,91.51
4,,Terminate,"Commander Anthology",195,,,,,,,,,1.00
1,,"Desolation Angel","Amonkhet Invocations",40,,foil,,,,,,,54.98
1,,"Blood Moon","Amonkhet Invocations",46,,foil,,,,,,,91.09
1,,"Accursed Horde","Hour of Devastation",56,,,,,,,,,0.25
1,,"Act of Heroism","Hour of Devastation",1,,,,,,,,,0.17
1,,"Adorned Pouncer","Hour of Devastation",2,,,,,,,,,0.93
2,,"Aerial Guide","Hour of Devastation",29,,,,,,,,,0.15
2,,Ambuscade,"Hour of Devastation",110,,,,,,,,,0.20
1,,"Ammit Eternal","Hour of Devastation",57,,,,,,,,,0.50
1,,"Angel of Condemnation","Hour of Devastation",3,,,,,,,,,0.70
1,,"Angel of the God-Pharaoh","Hour of Devastation",4,,,,,,,,,0.25
1,,"Apocalypse Demon","Hour of Devastation",58,,,,,,,,,0.34
1,,"Appeal // Authority","Hour of Devastation",152a/152b,,,,,,,,,0.25
5,,"Aven of Enduring Hope","Hour of Devastation",5,,,,,,,,,0.17
1,,"Aven Reedstalker","Hour of Devastation",30,,,,,,,,,0.15
1,,"Banewhip Punisher","Hour of Devastation",59,,,,,,,,,0.29
2,,"Beneath the Sands","Hour of Devastation",111,,,,,,,,,0.21
1,,"Bitterbow Sharpshooters","Hour of Devastation",112,,,,,,,,,0.17
2,,"Bloodwater Entity","Hour of Devastation",138,,,,,,,,,0.30
3,,"Blur of Blades","Hour of Devastation",84,,,,,,,,,0.18
1,,"Bontu's Last Reckoning","Hour of Devastation",60,,,,,,,,,1.55
1,,"Burning-Fist Minotaur","Hour of Devastation",85,,,,,,,,,0.25
1,,"Carrion Screecher","Hour of Devastation",61,,,,,,,,,0.18
1,,"Champion of Wits","Hour of Devastation",31,,,,,,,,,0.62
1,,"Chandra's Defeat","Hour of Devastation",86,,,,,,,,,0.25
1,,"Chaos Maw","Hour of Devastation",87,,,,,,,,,0.30
1,,"Countervailing Winds","Hour of Devastation",32,,,,,,,,,0.25
1,,"Crash Through","Hour of Devastation",88,,,,,,,,,0.25
1,,"Crested Sunmare","Hour of Devastation",6,,,,,,,,,7.89
1,,"Crook of Condemnation","Hour of Devastation",159,,,,,,,,,0.25
1,,"Crypt of the Eternals","Hour of Devastation",169,,,,,,,,,0.27
1,,"Cunning Survivor","Hour of Devastation",33,,,,,,,,,0.16
1,,"Dagger of the Worthy","Hour of Devastation",160,,,,,,,,,0.25
1,,"Dauntless Aven","Hour of Devastation",7,,,,,,,,,0.17
2,,"Defiant Khenra","Hour of Devastation",89,,,,,,,,,0.15
1,,"Desert of the Fervent","Hour of Devastation",170,,,,,,,,,0.25
3,,"Desert of the Glorified","Hour of Devastation",171,,,,,,,,,0.25
2,,"Desert of the Indomitable","Hour of Devastation",172,,,,,,,,,0.25
2,,"Desert of the Mindful","Hour of Devastation",173,,,,,,,,,0.23
1,,"Desert of the True","Hour of Devastation",174,,,,,,,,,0.24
2,,"Desert's Hold","Hour of Devastation",8,,,,,,,,,0.25
1,,"Devotee of Strength","Hour of Devastation",113,,,,,,,,,0.23
1,,"Disposal Mummy","Hour of Devastation",9,,,,,,,,,0.15
1,,"Djeru, With Eyes Open","Hour of Devastation",10,,,,,,,,,0.50
2,,"Djeru's Renunciation","Hour of Devastation",11,,,,,,,,,0.15
3,,Doomfall,"Hour of Devastation",62,,,,,,,,,0.25
1,,Doomfall,"Hour of Devastation",62,,foil,,,,,,,0.31
1,,Dreamstealer,"Hour of Devastation",63,,,,,,,,,0.41
1,,"Driven // Despair","Hour of Devastation",157a/157b,,,,,,,,,0.59
1,,"Dune Diviner","Hour of Devastation",114,,,,,,,,,0.23
2,,"Dunes of the Dead","Hour of Devastation",175,,,,,,,,,0.28
2,,"Dutiful Servants","Hour of Devastation",12,,,,,,,,,0.15
1,,"Earthshaker Khenra","Hour of Devastation",90,,,,,,,,,0.50
1,,"Endless Sands","Hour of Devastation",176,,,,,,,,,0.45
1,,"Eternal of Harsh Truths","Hour of Devastation",34,,,,,,,,,0.25
1,,"Farm // Market","Hour of Devastation",148a/148b,,,,,,,,,0.25
2,,"Feral Prowler","Hour of Devastation",115,,,,,,,,,0.19
1,,"Fervent Paincaster","Hour of Devastation",91,,,,,,,,,0.25
2,,"Firebrand Archer","Hour of Devastation",92,,,,,,,,,0.39
1,,"Forest (189)","Hour of Devastation",189,,,,,,,,,0.45
1,,"Forest (198)","Hour of Devastation",198,,,,,,,,,0.24
1,,"Forest (199)","Hour of Devastation",199,,,,,,,,,0.23
1,,"Fraying Sanity","Hour of Devastation",35,,,,,,,,,5.09
4,,"Frilled Sandwalla","Hour of Devastation",116,,,,,,,,,0.18
1,,"Frontline Devastator","Hour of Devastation",93,,,,,,,,,0.19
2,,"Gideon's Defeat","Hour of Devastation",13,,,,,,,,,0.25
2,,"Gift of Strength","Hour of Devastation",117,,,,,,,,,0.17
1,,"Gilded Cerodon","Hour of Devastation",94,,,,,,,,,0.15
1,,"God-Pharaoh's Faithful","Hour of Devastation",14,,,,,,,,,0.20
1,,"God-Pharaoh's Gift","Hour of Devastation",161,,,,,,,,,0.70
1,,"Granitic Titan","Hour of Devastation",95,,,,,,,,,0.19
2,,"Graven Abomination","Hour of Devastation",162,,,,,,,,,0.15
1,,"Grind // Dust","Hour of Devastation",155a/155b,,,,,,,,,0.35
1,,"Grisly Survivor","Hour of Devastation",64,,,,,,,,,0.19
1,,"Harrier Naga","Hour of Devastation",118,,,,,,,,,0.15
1,,"Hashep Oasis","Hour of Devastation",177,,,,,,,,,0.30
1,,"Hazoret's Undying Fury","Hour of Devastation",96,,,,,,,,,0.30
1,,"Hour of Devastation","Hour of Devastation",97,,,,,,,,,0.98
1,,"Hour of Eternity","Hour of Devastation",36,,,,,,,,,0.35
1,,"Hour of Glory","Hour of Devastation",65,,,,,,,,,0.34
1,,"Hour of Promise","Hour of Devastation",120,,,,,,,,,1.40
1,,"Hour of Revelation","Hour of Devastation",15,,,,,,,,,0.84
1,,"Imaginary Threats","Hour of Devastation",37,,,,,,,,,0.25
1,,"Imminent Doom","Hour of Devastation",98,,,,,,,,,0.33
1,,"Inferno Jet","Hour of Devastation",99,,,,,,,,,0.25
3,,"Ipnu Rivulet","Hour of Devastation",180,,,,,,,,,0.27
1,,"Island (186)","Hour of Devastation",186,,,,,,,,,0.42
1,,"Island (192)","Hour of Devastation",192,,,,,,,,,0.24
1,,"Island (193)","Hour of Devastation",193,,,,,,,,,0.21
1,,"Jace's Defeat","Hour of Devastation",38,,,,,,,,,0.25
1,,"Kefnet's Last Word","Hour of Devastation",39,,,,,,,,,0.35
2,,"Khenra Eternal","Hour of Devastation",66,,,,,,,,,0.20
1,,"Khenra Scrapper","Hour of Devastation",100,,,,,,,,,0.15
1,,"Kindled Fury","Hour of Devastation",101,,,,,,,,,0.15
1,,"Leave // Chance","Hour of Devastation",153a/153b,,,,,,,,,0.44
4,,"Lethal Sting","Hour of Devastation",67,,,,,,,,,0.20
1,,"Life Goes On","Hour of Devastation",121,,,,,,,,,0.22
1,,"Liliana's Defeat","Hour of Devastation",68,,,,,,,,,0.25
1,,"Lurching Rotbeast","Hour of Devastation",69,,,,,,,,,0.20
1,,Magmaroth,"Hour of Devastation",102,,,,,,,,,0.25
3,,Manalith,"Hour of Devastation",164,,,,,,,,,0.24
1,,"Manticore Eternal","Hour of Devastation",103,,,,,,,,,0.25
1,,"Marauding Boneslasher","Hour of Devastation",70,,,,,,,,,0.15
1,,"Merciless Eternal","Hour of Devastation",71,,,,,,,,,0.25
1,,"Moaning Wall","Hour of Devastation",72,,,,,,,,,0.18
1,,"Mountain (188)","Hour of Devastation",188,,,,,,,,,0.44
1,,"Mountain (196)","Hour of Devastation",196,,,,,,,,,0.20
1,,"Mountain (197)","Hour of Devastation",197,,,,,,,,,0.18
1,,"Mummy Paramount","Hour of Devastation",16,,,,,,,,,0.18
1,,"Nimble Obstructionist","Hour of Devastation",40,,,,,,,,,0.59
4,,"Nissa's Defeat","Hour of Devastation",123,,,,,,,,,0.25
1,,"Oasis Ritualist","Hour of Devastation",124,,,,,,,,,0.17
1,,"Obelisk Spider","Hour of Devastation",141,,,,,,,,,0.46
1,,"Oketra's Avenger","Hour of Devastation",17,,,,,,,,,0.17
1,,"Oketra's Last Mercy","Hour of Devastation",18,,,,,,,,,0.39
1,,"Ominous Sphinx","Hour of Devastation",41,,,,,,,,,0.25
1,,"Open Fire","Hour of Devastation",105,,,,,,,,,0.17
1,,Overcome,"Hour of Devastation",125,,,,,,,,,0.25
1,,"Overwhelming Splendor","Hour of Devastation",19,,,,,,,,,6.24
1,,"Plains (185)","Hour of Devastation",185,,,,,,,,,0.35
1,,"Plains (190)","Hour of Devastation",190,,,,,,,,,0.20
1,,"Plains (191)","Hour of Devastation",191,,,,,,,,,0.20
1,,"Pride Sovereign","Hour of Devastation",126,,,,,,,,,2.06
1,,"Proven Combatant","Hour of Devastation",42,,,,,,,,,0.18
1,,"Puncturing Blow","Hour of Devastation",106,,,,,,,,,0.17
1,,"Quarry Beetle","Hour of Devastation",127,,,,,,,,,0.25
1,,"Rampaging Hippo","Hour of Devastation",128,,,,,,,,,0.20
1,,"Ramunap Hydra","Hour of Devastation",130,,,,,,,,,0.40
1,,"Razaketh's Rite","Hour of Devastation",74,,,,,,,,,0.50
1,,"Resilient Khenra","Hour of Devastation",131,,,,,,,,,0.40
1,,"Resolute Survivors","Hour of Devastation",142,,,,,,,,,0.25
1,,"Rhonas's Last Stand","Hour of Devastation",132,,,,,,,,,0.37
2,,"Rhonas's Stalwart","Hour of Devastation",133,,,,,,,,,0.16
2,,Riddleform,"Hour of Devastation",43,,,,,,,,,0.25
1,,"River Hoopoe","Hour of Devastation",143,,,,,,,,,0.25
1,,"Ruin Rat","Hour of Devastation",75,,,,,,,,,0.20
1,,"Sand Strangler","Hour of Devastation",107,,,,,,,,,0.24
1,,Sandblast,"Hour of Devastation",20,,,,,,,,,0.17
1,,"Saving Grace","Hour of Devastation",21,,,,,,,,,0.25
2,,"Scrounger of Souls","Hour of Devastation",76,,,,,,,,,0.15
1,,"Seer of the Last Tomorrow","Hour of Devastation",44,,,,,,,,,0.15
1,,"Sidewinder Naga","Hour of Devastation",134,,,,,,,,,0.15
1,,"Sifter Wurm","Hour of Devastation",135,,,,,,,,,0.25
1,,"Sinuous Striker","Hour of Devastation",45,,,,,,,,,0.25
2,,Solemnity,"Hour of Devastation",22,,,,,,,,,3.39
1,,"Solitary Camel","Hour of Devastation",23,,,,,,,,,0.17
1,,"Spellweaver Eternal","Hour of Devastation",46,,,,,,,,,0.20
1,,"Steadfast Sentinel","Hour of Devastation",24,,,,,,,,,0.17
1,,"Steward of Solidarity","Hour of Devastation",25,,,,,,,,,0.25
5,,"Strategic Planning","Hour of Devastation",47,,,,,,,,,0.25
2,,"Striped Riverwinder","Hour of Devastation",48,,,,,,,,,0.30
1,,"Struggle // Survive","Hour of Devastation",151a/151b,,,,,,,,,0.25
2,,"Sunscourge Champion","Hour of Devastation",26,,,,,,,,,0.25
1,,"Sunset Pyramid","Hour of Devastation",166,,,,,,,,,0.25
1,,"Supreme Will","Hour of Devastation",49,,,,,,,,,0.25
1,,"Survivors' Encampment","Hour of Devastation",184,,,,,,,,,0.28
1,,"Swamp (187)","Hour of Devastation",187,,,,,,,,,0.59
1,,"Swamp (194)","Hour of Devastation",194,,,,,,,,,0.24
1,,"Swamp (195)","Hour of Devastation",195,,,,,,,,,0.24
1,,"Swarm Intelligence","Hour of Devastation",50,,,,,,,,,0.50
1,,"Tenacious Hunter","Hour of Devastation",136,,,,,,,,,0.25
1,,"The Scorpion God","Hour of Devastation",146,,,,,,,,,3.49
2,,"Thorned Moloch","Hour of Devastation",108,,,,,,,,,0.16
1,,"Torment of Scarabs","Hour of Devastation",78,,,,,,,,,0.65
1,,"Torment of Venom","Hour of Devastation",79,,,,,,,,,0.19
2,,"Tragic Lesson","Hour of Devastation",51,,,,,,,,,0.20
1,,"Traveler's Amulet","Hour of Devastation",167,,,,,,,,,0.22
1,,"Uncage the Menagerie","Hour of Devastation",137,,,,,,,,,1.27
1,,"Unconventional Tactics","Hour of Devastation",27,,,,,,,,,0.25
2,,"Unesh, Criosphinx Sovereign","Hour of Devastation",52,,,,,,,,,0.95
2,,"Unquenchable Thirst","Hour of Devastation",53,,,,,,,,,0.19
1,,"Unraveling Mummy","Hour of Devastation",147,,,,,,,,,0.26
3,,Unsummon,"Hour of Devastation",54,,,,,,,,,0.20
1,,"Vile Manifestation","Hour of Devastation",80,,,,,,,,,0.25
1,,"Vizier of the Anointed","Hour of Devastation",55,,,,,,,,,0.25
1,,"Vizier of the True","Hour of Devastation",28,,,,,,,,,0.25
1,,"Wall of Forgotten Pharaohs","Hour of Devastation",168,,,,,,,,,0.16
